Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
11250,1021,337,1970,71.42886,0,1,0
22361,532,197,1978,39.981715,1,1,0
1273,94,56,2009,364.977506,0,0,0
12042,440,297,1999,107.871439,1,1,0
1086,94,54,2006,115.004019,0,0,0
2219,159,88,2007,111.647884,0,1,0
2613,640,134,1984,67.514926,0,1,0
1997,176,71,1987,95.006793,0,1,0
4794,120,107,2010,45.64455,0,1,0
2172,143,88,1996,176.253959,0,1,0
1670,220,123,2009,139.282101,0,1,0
2506,200,96,2001,111.97595,0,1,0
2000,118,83,2010,29.924992,0,0,0
6638,273,127,1986,132.559166,0,1,1
1310,181,98,2011,150.018876,0,1,0
1242,265,61,1998,64.620453,0,1,0
6186,388,147,1958,149.214504,0,1,0
1900,161,87,1986,154.86003,0,1,0
1460,160,67,1998,173.701904,0,1,0
1005,104,94,1998,269.243648,0,1,0
2167,367,117,1998,111.860214,0,1,0
12650,703,219,1991,43.837897,1,1,0
1312,171,48,1970,19.675169,0,1,0
1390,115,60,2011,16.20699,0,0,0
1858,93,76,2000,225.442161,0,1,0
16966,816,229,1986,47.176373,1,1,0
1662,128,80,1981,157.689865,0,1,0
1144,108,88,1983,153.734996,0,1,0
1650,127,73,2009,189.365855,0,1,0
1104,188,59,1974,81.754437,0,1,0
3186,258,115,2007,40.066924,0,0,0
9519,2024,146,1984,23.980163,0,0,0
11472,700,281,1987,35.240886,0,1,0
1058,112,46,1990,264.174333,0,1,0
22500,1317,590,2011,7.058668,0,0,0
5500,488,170,2000,34.592071,0,1,0
3718,480,102,1984,52.156089,0,1,0
1258,128,51,1987,235.76912,0,1,0
1750,1035,270,1992,22.690806,1,1,0
15676,1808,219,1987,11.1126,0,1,0
4500,396,135,2005,95.270595,0,0,0
1680,126,82,2006,196.951223,0,0,0
2212,290,144,2000,17.607637,0,1,1
5115,335,140,2004,34.592071,0,1,0
4417,273,87,1975,71.601588,0,1,0
4634,256,119,1950,30.599792,1,1,0
2791,256,103,2007,40.066924,0,0,0
2133,113,84,2007,256.414558,0,1,0
3328,184,70,2010,81.158865,0,1,0
1989,270,80,1984,94.315913,0,1,0
