Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m,es_depto
1149,37,37,2010,163.419096,0,1,1,TRUE
1192,133,47,1993,214.770808,0,1,0,FALSE
1339,162,79,1998,161.003731,0,1,0,FALSE
1030,40,40,2009,331.258073,0,1,0,TRUE
1807,49,49,2008,511.444295,0,1,0,TRUE
1186,46,46,2008,301.054871,0,1,0,TRUE
1858,146,146,1993,55.344972,0,1,0,TRUE
1482,73,73,1994,224.713905,1,1,0,TRUE
1899,65,65,2008,222.173313,0,1,0,TRUE
5560,104,104,2009,414.931919,1,1,0,TRUE
6430,140,140,2012,113.869833,0,1,0,TRUE
4932,333,140,2010,62.277516,0,1,0,FALSE
5050,388,140,1966,64.617437,0,1,0,FALSE
1018,112,46,1990,254.475665,0,1,0,FALSE
13250,826,234,2008,45.88327,0,1,0,FALSE
3818,220,111,1938,91.292519,0,1,0,FALSE
7150,364,138,1989,58.237695,0,1,0,FALSE
1228,69,59,2008,157.86096,0,1,0,FALSE
7070,591,164,2012,2.737282,0,0,0,FALSE
2900,71,71,2009,195.028942,0,1,0,TRUE
1500,56,56,2001,467.461263,1,1,0,TRUE
3239,78,78,2011,202.436912,1,1,0,TRUE
6054,70,70,2005,832.148425,1,1,0,TRUE
1345,126,58,2007,203.78511,0,1,0,FALSE
2769,73,73,2008,436.086431,0,1,0,TRUE
1905,128,76,2011,95.067108,0,1,0,FALSE
1684,130,60,1979,173.028135,0,1,0,FALSE
6400,124,124,2008,354.916107,0,1,0,TRUE
4595,79,79,1983,325.559,1,1,1,TRUE
2433,57,57,2009,385.175603,0,1,0,TRUE
6200,299,90,1981,101.561556,1,1,0,FALSE
1041,28,28,2010,1367.785897,0,1,0,TRUE
1883,54,54,2009,2108.09314,0,1,1,TRUE
1821,200,63,1981,129.587582,0,1,0,FALSE
1473,105,66,2010,139.874871,0,0,0,FALSE
2085,442,88,1998,97.272428,0,1,0,FALSE
21022,336,336,2009,1.523755,0,0,0,TRUE
3013,76,76,2008,398.740497,0,1,0,TRUE
1354,35,35,2007,2.667073,0,1,0,TRUE
3676,70,70,2009,190.773498,1,1,0,TRUE
2019,27,27,2011,450.883364,0,1,0,TRUE
12100,482,200,2000,23.384465,0,1,0,FALSE
1647,92,92,2009,133.613512,0,1,0,TRUE
1909,132,83,1996,214.020885,0,1,0,FALSE
3583,60,60,2005,828.550765,0,1,0,TRUE
1452,132,48,1986,173.071839,0,1,0,FALSE
7586,129,129,2005,354.916107,0,1,0,TRUE
1651,322,63,1975,113.196393,0,1,0,FALSE
2779,121,107,2010,149.00328,0,1,0,FALSE
